time_sec,host_write_MB,cache_write_MB,backend_write_MB,gc_write_MB,host_write_delta_MB,cache_write_delta_MB,backend_write_delta_MB,gc_write_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,cache_read_MB,backend_read_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks
152.00,156033.50,156033.50,0.00,0.00,2723.86,2723.86,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,21113500,18831077,0,0
154.00,158705.36,158705.36,0.00,0.00,2671.85,2671.85,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,21518871,19109700,0,0
156.00,161338.66,161338.66,0.00,0.00,2633.30,2633.30,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,21922158,19380539,0,0
158.00,164054.77,164054.77,0.00,0.00,2716.11,2716.11,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,22287754,19710267,0,0
160.00,166763.47,166763.47,0.00,0.00,2708.70,2708.70,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,22665202,20026247,0,0
162.00,169418.86,169418.86,0.00,0.00,2655.39,2655.39,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,22969737,20401492,0,0
164.00,171974.48,171974.48,0.00,0.00,2555.62,2555.62,0.00,0.00,3290095394.16,5820103364.04,167710.27,973674.00,0.00,0.00,23406621,20618847,0,0
166.00,174515.70,174515.70,0.00,0.00,2541.21,2541.21,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,23709178,20966840,0,0
168.00,177042.46,177042.46,0.00,0.00,2526.77,2526.77,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,23973358,21349512,0,0
170.00,179584.04,179584.04,0.00,0.00,2541.58,2541.58,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,24214683,21758831,0,0
172.00,182138.78,182138.78,0.00,0.00,2554.74,2554.74,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,24355997,22271530,0,0
174.00,184687.25,184687.25,0.00,0.00,2548.48,2548.48,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,24574664,22705273,0,0
176.00,186185.13,186185.13,0.00,0.00,1497.88,1497.88,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,24699240,22964153,0,0
178.00,188773.30,188773.30,0.00,0.00,2588.17,2588.17,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,25173967,23151997,0,0
180.00,191448.71,191448.71,0.00,0.00,2675.41,2675.41,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,25534372,23476498,0,0
182.00,194039.75,194039.75,0.00,0.00,2591.04,2591.04,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,26051770,23622405,0,0
184.00,196702.18,196702.18,0.00,0.00,2662.43,2662.43,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,26390107,23965651,0,0
186.00,199414.99,199414.99,0.00,0.00,2712.81,2712.81,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,26675363,24374875,0,0
188.00,202057.46,202057.46,0.00,0.00,2642.47,2642.47,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,27076994,24649717,0,0
190.00,204736.14,204736.14,0.00,0.00,2678.68,2678.68,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,27308217,25104236,0,0
192.00,207433.44,207433.44,0.00,0.00,2697.30,2697.30,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,27570035,25532926,0,0
194.00,210179.59,210179.59,0.00,0.00,2746.15,2746.15,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,27923704,25882272,0,0
196.00,212902.66,212902.66,0.00,0.00,2723.06,2723.06,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,28197600,26305480,0,0
198.00,215546.65,215546.65,0.00,0.00,2644.00,2644.00,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,28570566,26609377,0,0
200.00,218264.18,218264.18,0.00,0.00,2717.52,2717.52,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,29122396,26753233,0,0
202.00,221004.21,221004.21,0.00,0.00,2740.03,2740.03,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,29372112,27204965,0,0
204.00,223791.86,223791.86,0.00,0.00,2787.66,2787.66,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,29553124,27737593,0,0
206.00,226591.56,226591.56,0.00,0.00,2799.70,2799.70,0.00,0.00,3290095394.16,5820103364.04,0.00,0.00,0.00,0.00,29781873,28225566,0,0
