time_sec,host_write_MB,cache_write_MB,backend_write_MB,host_delta_MB,cache_delta_MB,backend_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks,l2p_write_MB,md_write_MB,l2p_delta_MB,md_delta_MB
256.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
258.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
260.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
262.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
264.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
266.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
268.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
270.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
272.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
274.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
276.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
278.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
280.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
282.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
284.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
286.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
288.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
290.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
292.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
294.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
296.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
298.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
300.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
302.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
304.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
306.00,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065283.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065285.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065287.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065289.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065291.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065293.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065295.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065297.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065299.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065301.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065303.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065305.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065307.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065309.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065311.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065313.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065315.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065317.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065319.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065321.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
18446744065323.30,0.00,0.00,0.00,0.00,0.00,0.00,5653381411.80,8632163613.08,0.00,0.00,0,0,0,0,0.00,1792343.25,0.00,0.00
